SampleDate,site,temperature
2011-09-09T00:00:00Z,RMRS_MT103,7.57
2011-09-10T00:00:00Z,RMRS_MT103,7.39
2011-09-11T00:00:00Z,RMRS_MT103,7.19
2011-09-12T00:00:00Z,RMRS_MT103,7.24
2011-09-13T00:00:00Z,RMRS_MT103,7.59
2011-09-14T00:00:00Z,RMRS_MT103,7.68
2011-09-15T00:00:00Z,RMRS_MT103,7.51
2011-09-16T00:00:00Z,RMRS_MT103,7.41
2011-09-17T00:00:00Z,RMRS_MT103,6.19
2011-09-18T00:00:00Z,RMRS_MT103,6.65
2011-09-19T00:00:00Z,RMRS_MT103,6.75
2011-09-20T00:00:00Z,RMRS_MT103,6.51
2011-09-21T00:00:00Z,RMRS_MT103,6.47
2011-09-22T00:00:00Z,RMRS_MT103,6.45
2011-09-23T00:00:00Z,RMRS_MT103,6.73
2011-09-24T00:00:00Z,RMRS_MT103,6.89
2011-09-25T00:00:00Z,RMRS_MT103,7.06
2011-09-26T00:00:00Z,RMRS_MT103,6.52
2011-09-27T00:00:00Z,RMRS_MT103,6.59
2011-09-28T00:00:00Z,RMRS_MT103,6.66
2011-09-29T00:00:00Z,RMRS_MT103,6.41
2011-09-30T00:00:00Z,RMRS_MT103,6.88
2011-10-01T00:00:00Z,RMRS_MT103,7.16
2011-10-02T00:00:00Z,RMRS_MT103,6.93
2011-10-03T00:00:00Z,RMRS_MT103,6.82
2011-10-04T00:00:00Z,RMRS_MT103,6.7
2011-10-05T00:00:00Z,RMRS_MT103,5.44
2011-10-06T00:00:00Z,RMRS_MT103,4.43
2011-10-07T00:00:00Z,RMRS_MT103,4.51
2011-10-08T00:00:00Z,RMRS_MT103,4.46
2011-10-09T00:00:00Z,RMRS_MT103,4.22
2011-10-10T00:00:00Z,RMRS_MT103,4.46
2011-10-11T00:00:00Z,RMRS_MT103,4.48
2011-10-12T00:00:00Z,RMRS_MT103,4.28
2011-10-13T00:00:00Z,RMRS_MT103,4.6
2011-10-14T00:00:00Z,RMRS_MT103,5.43
2011-10-15T00:00:00Z,RMRS_MT103,5.75
2011-10-16T00:00:00Z,RMRS_MT103,5.37
2011-10-17T00:00:00Z,RMRS_MT103,4.15
2011-10-18T00:00:00Z,RMRS_MT103,3.98
2011-10-19T00:00:00Z,RMRS_MT103,4.13
2011-10-20T00:00:00Z,RMRS_MT103,4.33
2011-10-21T00:00:00Z,RMRS_MT103,4.52
2011-10-22T00:00:00Z,RMRS_MT103,4.32
2011-10-23T00:00:00Z,RMRS_MT103,4.4
2011-10-24T00:00:00Z,RMRS_MT103,4.31
2011-10-25T00:00:00Z,RMRS_MT103,2.82
2011-10-26T00:00:00Z,RMRS_MT103,2.02
2011-10-27T00:00:00Z,RMRS_MT103,2.1
2011-10-28T00:00:00Z,RMRS_MT103,2.13
2011-10-29T00:00:00Z,RMRS_MT103,3.05
2011-10-30T00:00:00Z,RMRS_MT103,2.76
2011-10-31T00:00:00Z,RMRS_MT103,3.41
2011-11-01T00:00:00Z,RMRS_MT103,1.91
2011-11-02T00:00:00Z,RMRS_MT103,1.27
2011-11-03T00:00:00Z,RMRS_MT103,1.85
2011-11-04T00:00:00Z,RMRS_MT103,2.03
2011-11-05T00:00:00Z,RMRS_MT103,1.42
2011-11-06T00:00:00Z,RMRS_MT103,1.27
2011-11-07T00:00:00Z,RMRS_MT103,1.15
2011-11-08T00:00:00Z,RMRS_MT103,0.84
2011-11-09T00:00:00Z,RMRS_MT103,0.98
2011-11-10T00:00:00Z,RMRS_MT103,1.25
2011-11-11T00:00:00Z,RMRS_MT103,1.5
2011-11-12T00:00:00Z,RMRS_MT103,1.09
2011-11-13T00:00:00Z,RMRS_MT103,1.29
2011-11-14T00:00:00Z,RMRS_MT103,1.58
2011-11-15T00:00:00Z,RMRS_MT103,1.32
2011-11-16T00:00:00Z,RMRS_MT103,0.71
2011-11-17T00:00:00Z,RMRS_MT103,1.1
2011-11-18T00:00:00Z,RMRS_MT103,1.17
2011-11-19T00:00:00Z,RMRS_MT103,0.97
2011-11-20T00:00:00Z,RMRS_MT103,0.67
2011-11-21T00:00:00Z,RMRS_MT103,1.52
2011-11-22T00:00:00Z,RMRS_MT103,1.35
2011-11-23T00:00:00Z,RMRS_MT103,1.87
2011-11-24T00:00:00Z,RMRS_MT103,2
2011-11-25T00:00:00Z,RMRS_MT103,1.23
2011-11-26T00:00:00Z,RMRS_MT103,0.8
2011-11-27T00:00:00Z,RMRS_MT103,1.41
2011-11-28T00:00:00Z,RMRS_MT103,2.05
2011-11-29T00:00:00Z,RMRS_MT103,1.62
2011-11-30T00:00:00Z,RMRS_MT103,1.69
2011-12-01T00:00:00Z,RMRS_MT103,0.8
2011-12-02T00:00:00Z,RMRS_MT103,0.81
2011-12-03T00:00:00Z,RMRS_MT103,0.5
2011-12-04T00:00:00Z,RMRS_MT103,0.91
2011-12-05T00:00:00Z,RMRS_MT103,0.39
2011-12-06T00:00:00Z,RMRS_MT103,0.51
2011-12-07T00:00:00Z,RMRS_MT103,0.66
2011-12-08T00:00:00Z,RMRS_MT103,0.58
2011-12-09T00:00:00Z,RMRS_MT103,0.62
2011-12-10T00:00:00Z,RMRS_MT103,0.69
2011-12-11T00:00:00Z,RMRS_MT103,0.7
2011-12-12T00:00:00Z,RMRS_MT103,0.62
2011-12-13T00:00:00Z,RMRS_MT103,0.52
2011-12-14T00:00:00Z,RMRS_MT103,0.85
2011-12-15T00:00:00Z,RMRS_MT103,0.87
2011-12-16T00:00:00Z,RMRS_MT103,0.65
2011-12-17T00:00:00Z,RMRS_MT103,0.82
2011-12-18T00:00:00Z,RMRS_MT103,0.91
2011-12-19T00:00:00Z,RMRS_MT103,0.7
2011-12-20T00:00:00Z,RMRS_MT103,0.72
2011-12-21T00:00:00Z,RMRS_MT103,0.76
2011-12-22T00:00:00Z,RMRS_MT103,0.32
2011-12-23T00:00:00Z,RMRS_MT103,0.37
2011-12-24T00:00:00Z,RMRS_MT103,0.46
2011-12-25T00:00:00Z,RMRS_MT103,0.6
2011-12-26T00:00:00Z,RMRS_MT103,0.65
2011-12-27T00:00:00Z,RMRS_MT103,1.02
2011-12-28T00:00:00Z,RMRS_MT103,0.94
2011-12-29T00:00:00Z,RMRS_MT103,0.76
2011-12-30T00:00:00Z,RMRS_MT103,0.67
2011-12-31T00:00:00Z,RMRS_MT103,0.53
2012-01-01T00:00:00Z,RMRS_MT103,0.84
2012-01-02T00:00:00Z,RMRS_MT103,1.21
2012-01-03T00:00:00Z,RMRS_MT103,1.09
2012-01-04T00:00:00Z,RMRS_MT103,1
2012-01-05T00:00:00Z,RMRS_MT103,1.39
2012-01-06T00:00:00Z,RMRS_MT103,0.6
2012-01-07T00:00:00Z,RMRS_MT103,0.52
2012-01-08T00:00:00Z,RMRS_MT103,0.85
2012-01-09T00:00:00Z,RMRS_MT103,0.74
2012-01-10T00:00:00Z,RMRS_MT103,0.92
2012-01-11T00:00:00Z,RMRS_MT103,0.34
2012-01-12T00:00:00Z,RMRS_MT103,0.34
2012-01-13T00:00:00Z,RMRS_MT103,0.39
2012-01-14T00:00:00Z,RMRS_MT103,0.59
2012-01-15T00:00:00Z,RMRS_MT103,0.62
2012-01-16T00:00:00Z,RMRS_MT103,0.33
2012-01-17T00:00:00Z,RMRS_MT103,0.35
2012-01-18T00:00:00Z,RMRS_MT103,0.33
2012-01-19T00:00:00Z,RMRS_MT103,0.28
